id,date,x,y,nn5,nn6,access_type,distance_to_road,terrain_type,area,volume,composition_construction,composition_natural,composition_communal,composition_communal_large,composition_dangerous,dangerous_waste_description,photo_id1,photo_id2,photo_id3,description,unknown1,unknown2,unknown3,unknown4,unknown5,unknown6,unknown7,unknown8,unknown9,unknown10,unknown11
76,2010-04-04 12:29:32,14.793007801529,45.692851381353,,,1,500,1,2,2,,50,50,,0,,,,,,,48,634,,,,,,,,
2236,2010-04-18 14:33:11,14.3206286853538,46.3232990187566,,,3,300,1,12,10,,,,,,,,,,,,131,,,,,,,,,
842,2010-04-18 14:36:19,13.8896973266681,45.728304905545,,,2,700,1,20,5,,,,100,,,,,,,,111,340,,,,,,,,
1191,2010-04-18 14:33:07,14.9711564463881,46.1095191684194,,,2,20,1,10,2,,,,100,,,,,,,,142,1940,,,,,,,,
1803,2010-04-18 14:34:59,14.2527493023133,46.3574316962306,,,3,5,2,12,8,,,,100,,,,,,,,131,576,,,,,,,,
2304,2010-04-04 13:55:20,15.8127095522727,46.6993080452453,,,3,20,2,10,1,,20,80,,,,30367,,,,,195,347,,,,,,,,
2721,2010-04-04 12:25:56,14.3673861418382,46.2722937586024,,,1,0,1,30,0.8,,,100,,,,,30988,,,,52,1810,,,,,,,,
2956,2010-04-18 14:35:19,14.536951295402,46.0050990787925,,,1,0,1,3,1,100,,,,,,31321,,,,,61,,,,,,,,,
3014,2010-04-03 21:45:54,15.4995606252341,46.5394443818208,,,2,100,1,2,1,,,100,,,,31935,,,,,108,939,,,,,,,,
3117,2010-04-18 14:21:46,15.2061517850411,45.804444834441,,,1,110,2,300,10,,,100,,,,31635,,,,,85,17,,,,,,,,
3418,2010-04-18 14:34:47,14.5067450812866,46.1098339195185,,,1,0,1,4,8,,,,,,,,,,,,61,,,,,,,,,
3604,2010-04-18 14:27:47,15.2844769439136,46.5372971094727,,,1,2,1,10,0.25,,,100,,,,,,,,,177,,,,,,,,,
3912,2010-04-03 22:00:55,15.3319507229474,46.5316193884809,,,1,200,2,10,3,,,100,,,,,,,,,93,997,,,,,,,,
4098,2010-04-04 12:53:21,16.2461324809252,46.7661683456597,,,1,100,3,10,10,,,,90,10,,33376,33374,33375,,,31,1781,,,,,,,,
4501,2010-04-18 14:32:17,15.1452244821793,46.1312155526502,,,1,30,1,70,7,100,,,,,,34064,34065,,,,34,,,,,,,,,
4947,2010-04-18 14:29:32,16.2584808908829,46.5119170719964,,,1,70,1,2,0.25,,,100,,,,,,,,,176,,,,,,,,,
6842,2010-04-18 14:30:34,14.5379375448906,45.9923157779505,,,1,0,1,2,2,100,,,,,,36870,,,,,61,,,,,,,,,
6901,2010-04-18 14:34:06,14.1204113666155,46.0058137096843,,,2,200,3,20,15,,,,100,,,36947,36949,36946,,,36,,,,,,,,,
6958,2010-04-18 14:28:12,15.5342732615651,46.2254951399511,,,2,150,3,50,4,,,,,,,,,,,,124,,,,,,,,,
7011,2010-04-18 14:29:32,14.3264698754701,46.2860710456547,,,1,5,1,10,1,,,100,,,,,,,,,52,,,,,,,,,
1844,2010-04-18 14:34:13,14.753536018351,46.0912233218282,,,1,30,3,50,5,90,,10,,,,29509,29511,,,,22,1719,,,,,,,,
2046,2010-04-18 14:35:39,14.3621154885056,46.2420155996135,,,3,100,1,60,2,80,,17,3,,,29823,,,,,52,,,,,,,,,
7280,2010-04-18 14:31:15,14.3255949649188,46.2536908733945,,,1,2,2,100,10,,,100,,,,37324,37325,37326,,,82,,,,,,,,,
7658,2010-04-18 14:33:23,13.9100392217841,45.8992090120224,,,2,30,1,10,10,100,,,,,,,,,,,1,,,,,,,,,
7706,2010-04-20 12:15:07,14.3751287998285,45.8009972455784,,,1,10,2,20,1,,,,100,,,,,,,,13,,1,,,,,,,
2420,2010-04-18 14:32:40,14.575124339923,46.1259971174156,,,1,0,1,150,55,98,1,1,,,,30502,30505,,,,23,204,,,,,,,,
9194,2010-04-01 22:24:50,14.5538288568296,46.050230865574,786,10002,2,200,1,30,10,100,,,,,,,,,,,61,,,,,,,,,
10185,2010-03-29 09:07:08,14.7703966453312,46.3010600814766,,10736,1,5,1,7,2,,,,100,,,,,,,,30,1703,,,,,,,,
123,2010-04-04 12:59:51,15.7651175240348,46.5170312871141,,,3,40,2,10,5,,,,100,0,"<a href="""">vsbcesar@gmail.com</a>",,,,,,26,334,,,,,,,,
3877,2010-04-04 12:31:35,14.6073502375231,46.2078527960444,,,1,10,1,3,1,,,100,,,,33011,,,,,43,1798,,,,,,,,
124,2010-04-18 14:24:04,14.1209934905855,46.0053066881923,,,2,150,3,20,15,,,,100,,"<p>avtomobili, gospodinjski aparati</p>",,,,,,36,845,,,,,,,,
3878,2010-04-04 12:31:35,14.6035672455889,46.2040001435846,,,3,300,1,1,0.5,,,100,,,<p>v gozdu</p>,33016,,,,,43,1798,,,,,,,,
125,2010-04-18 14:23:38,14.0947751844596,46.017969392541,,,1,0,2,100,20,20,,40,40,,<p>leži pod cesto Vrsnik Žirovnica</p>,,,,,,36,845,,,,,,,,
127,2010-04-07 23:04:51,14.5131933497696,46.0437861738119,,,1,2,1,6,20,70,10,,20,,"<p>KIOSK!<br/>NEUPORABEN ZE VEC KOT 10 LET. ZARJAVEL, ODLAGALISCE SMETI, NEURABEN ZA UPORABO,LEGLO NEVERNIH ODPADKOV.</p>",34703,,,,,61,1309,,,,,,,,
