lon,lat,id,added_username,diameter,height,koostis_muu,koostis_rehvid,koostis_suur,description,rehvide_arv
24.4071333333,59.3212166667,6,ahti,5,0,t,f,f,,0
24.4068666667,59.3211833333,7,ahti,2,0,f,t,f,,2
24.4052666667,59.3243333333,8,ahti,10,0,t,t,f,"Täpsem mõõtmine: 2 hunnikut läbimõõdu x keskm paksusega vastavalt 5x0.5, 5x0.2",20
24.3850833333,59.28845,9,ahti,3,0,t,f,f,,0
24.3641166667,59.3031666667,10,ahti,10,0,t,f,f,,0
24.3653666667,59.3003166667,11,ahti,15,1,t,f,f,,0
24.3475666667,59.3060833333,12,ahti,30,1,t,t,f,"Täpsem mõõtmine: 700 rehvi (auto, veok, traktor) ja 100 kuupmeetrit muud prügi",700
24.3486,59.3003166667,13,ahti,15,0,t,t,f,"Täpsem mõõtmine: läbimõõt x keskm paksus 5x0.1",44
24.3467166667,59.3039666667,14,ahti,3,0,f,t,f,,5
24.3470166667,59.3029333333,15,ahti,10,0,t,f,f,"Täpsem mõõtmine: läbimõõt x keskm paksus 7x0.2",0
24.3474,59.3014833333,16,ahti,5,0,t,f,f,"Täpsem mõõtmine: 2 hunnikut läbimõõdu x keskm paksusega vastavalt 7x0.2, 4x0.2",0
24.3680833333,59.3425666667,17,ahti,5,0,t,f,f,,0
24.3717166667,59.3445166667,18,ahti,30,0,,,,,1060
24.3708,59.3446,19,ahti,30,0,,,,,1060
24.3697666667,59.34435,20,ahti,2,0,t,f,f,,0
24.3696166667,59.3447166667,21,ahti,5,0,t,f,f,"Täpsem mõõtmine: läbimõõt x keskm paksus 5x0.1",0
24.3692833333,59.3446333333,22,ahti,10,0,t,t,f,"Täpsem mõõtmine: 25x3m, keskm paksus 0.5m",20
24.3485833333,59.3516166667,23,ahti,2,0,t,f,f,,0
24.3485666667,59.35175,24,ahti,3,0,t,f,f,,0
24.3482333333,59.3520333333,25,ahti,2,0,t,f,f,,0
24.3481166667,59.3520833333,26,ahti,5,0,t,f,f,,0
24.3477833333,59.3522333333,27,ahti,2,0,t,f,f,,0
24.3056666667,59.2442333333,28,ahti,10,0,t,f,f,,0
24.2791166667,59.2443166667,29,ahti,2,0,t,f,f,,0
24.3059666667,59.2443666667,30,ahti,3,0,t,f,f,,0
24.2793,59.2449666667,31,ahti,2,0,t,f,f,,0
24.27935,59.2451833333,32,ahti,4,0,t,f,f,,0
24.2794333333,59.2454833333,33,ahti,5,0,t,f,f,,0
24.3152166667,59.2456333333,34,ahti,3,0,t,t,f,,1
24.2789833333,59.2456833333,35,ahti,3,0,t,f,f,,0
24.313,59.2456833333,36,ahti,25,0,t,t,f,,123
24.2794333333,59.2458333333,37,ahti,3,0,t,f,f,,0
24.2792666667,59.2462666667,38,ahti,2,0,t,f,f,,0
24.28005,59.2466,39,ahti,2,0,t,f,f,,0
24.3333666667,59.2487166667,40,ahti,10,0,t,f,f,,0
24.3195833333,59.2499666667,41,ahti,10,0,t,t,f,,20
24.32075,59.2505833333,42,ahti,10,0,t,f,f,,0
24.3212666667,59.2513,43,ahti,15,0,t,f,f,,0
24.3216666667,59.2521,44,ahti,15,0,t,t,f,,44
24.2125833333,59.3190333333,45,ahti,10,1,t,f,f,,0
24.1959666667,59.3195333333,46,ahti,7,0,t,f,f,,0
24.2788166667,59.3251666667,47,ahti,3,0,t,f,f,,0
24.2752666667,59.32855,48,ahti,1,0,t,f,f,,0
24.2738833333,59.32875,49,ahti,1,0,f,t,f,,1
24.23825,59.33455,50,ahti,2,0,t,f,f,,0
24.2396166667,59.33515,51,ahti,2,0,t,f,f,,0
24.2412,59.3358333333,52,ahti,3,0,t,t,f,,1
22.7718,59.002,53,ahti,,,,,,,1
25.67198,59.298107,54,ahti,,,,,,"Suur virn nähtud 23.09.2007",1
24.2925537073,59.2458043167,55,ahti,,,,,,,1
24.2165738108,59.3259662164,56,ahti,,,,,,,1
24.384184107,59.326612512,57,ahti,15,0,t,f,f,"Täpsem mõõtmine: läbimõõt x keskm paksus 16x0.1",0
24.383919658,59.326966731,58,ahti,7,0,t,t,f,,10
24.384912243,59.327107547,59,ahti,5,0,t,f,f,,0
24.316217685,59.342375854,60,ahti,20,1,t,f,f,,0
24.269627547,59.32650975,61,ahti,3,0,t,f,f,,0
24.265766256,59.325389005,62,ahti,2,0,t,f,f,,0
24.247717336,59.314805344,63,ahti,3,0,t,f,f,,0
24.246745538,59.315156462,64,ahti,2,0,t,t,f,,1
24.248176999,59.316172767,65,ahti,2,0,t,t,f,,1
24.2504925,59.319203161,66,ahti,2,0,t,f,f,,0
24.259125525,59.322655415,67,ahti,5,0,t,f,f,,0
24.260175694,59.323027488,68,ahti,2,0,t,f,f,,0
24.264122397,59.324583001,69,ahti,3,0,t,f,f,,0
24.294516267,59.330991721,70,ahti,4,0,t,f,f,,0
22.770853406,59.000113495,71,ahti,1,0,t,f,f,,0
22.766184434,58.998492435,72,ahti,2,0,t,t,f,,1
25.2439,59.438,73,ahti,3,0,t,t,f,"teeristi juures metsas laiali",1
24.26351,59.32477,75,henri,0,0,t,f,f,"detailid ja voolik",0
